,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab 1,2,19,,Transitions to jab 2 as early as frame 5,2.2,8,3,,-14
Jab 2,2,21,,Transitions to Jab 3 as early as frame 6.,1.7,5,3,,-16
Jab 3,3,33,,,4.0,11,5,,-29
F-Tilt,5,25,,,7.0,7,7,,-13
U-Tilt,5,29,,,5.5,6,6,,-18
D-Tilt,5,27,,,7.0 / 5.0,7/6,7/6,Close/far,-15/-16
Dash Attack,6,37,,,8.0 / 6.0,9/8,14/11,Early/late,-17
F-Smash,15,47,,Charge hold frame is 5.,17.7 / 14.6,11/10,12/10,Far/Close,-22/-20
U-Smash,9,39,,Head Invulnerability on frame 9-12. Charge hold is frame 6,14.0,10,10,,-20
D-Smash,5/14,43,,Charge hold frame is 2,10.0 / 12.0,8/9,7/8,First/Second,-31/-21
N-Air,3,45,6,Auto cancels on frame 1-2 and frame 39 onward,8.0 / 5.0 ,7/6,4/3,Early/Late,-2/-3/-3/-3
F-Air,16,59,17,Auto cancels on frame 1-2 and frame 43 onward,14.0 / 12.0,10/9,5/5,Meteor/Early,-12/-12/-12/-13
B-Air,6,33,6,Auto cancels on frame 1-5 and frame 19 onward,10.5 / 7.0,8/7,4/3,Early/Late,-2/-3/-2/-3
U-Air,4,30,6,Auto cancels on frame 17 onward,7.0 / 5.9,7/6,3/3,,-3/-3
D-Air,5/7/9/11/13/23,37,15,Auto cancels on frame 1-4 and frame 33 onward,1.3 / 5.5,4/6/4,2/3/3,"Multihit/Final/
Landing",-11
Fireball,17,49,,Fireball disappears on frame 88.,5.0 / 4.0,6/5,3/2,Early/late,-23
Cape,12,35,,Reflects on frame 6-20,7.0,7,7,,-16
Super Jump Punch,3/7/9/11/13/15/17,,30,Invulnerable on frame 3-6,,6/4/5,6/2/4,"First/multihit/
Final",
F.L.U.D.D. ,2 (+19),48,,"Startup is 2 from a charging state. Entering charge state
takes 19 frames and is shield cancellable on 20.",,,,,
F.L.U.D.D. (full charge),21,67,,Takes 100 frames to reach full charge.,,,,,
Grab,6,34,,,,,,,
Dash Grab ,9,42,,,,,,,
Pivot Grab,10,36,,,,,,,
Pummel,1,6,,,1.2,,,,
Forward Throw,13 ,27 ,,,8.0,,,,
Back Throw,44,59,,,11.0,,,,
Up Throw,18,39,,,7.0,,,,
Down Throw,18,39,,,5.0,,,,
,,,,,,,,,
Spot Dodge,,20/25,,Invulnerable on frame 3-17,,,,,
Forward Roll,,29,,Invulnerable on frame 4-15 ,,,,,
Back Roll,,34,,Invulnerable on frame 5-16 ,,,,,
Neutral Air Dodge,,52,10,Invulnerable on frame 3-29,,,,,
Dir. AD (down),,71,11-19,Invulnerable on frame 3-21.,,,,,
Dir. AD (diagonally down),,77,11-19,Invulnerable on frame 3-21.,,,,,
Dir. AD (left or right),,87,11-19,Invulnerable on frame 3-21.,,,,,
Dir. AD (diagonally up),,102,11-19,Invulnerable on frame 3-21.,,,,,
Dir. AD (up),,116,11-19,Invulnerable on frame 3-21.,,,,,
