,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab 1,8,24,,Transitions to Jab 2 as early as frame 12,3.0,8,4,,-12
Jab 2,5,25,,Transitions to Jab 3 as early as frame 8.,3.0,6,4,,-16
Jab 3,6,34,,,4.0,11,5,,-23
F-Tilt,15,39,,Only hits targets above him on 15,13.0,9,12,,-12
U-Tilt,8,35,,,11.0,8,10,,-17
D-Tilt,10,30,,,9.0,7,9,,-11
Dash Attack,20,56,,,14.0,9,15,,-21
F-Smash 1,17,50,,"Transitions to second swing as early as frame 22. Sword beam active frames 19-58. 
Charge hold frame is 9",7.0 / 14.0 / 5.0,7/10/6,6/10/4,"Close/Tipper/
projectile",-27-23
F-Smash 2,10,60,,,13.0,14,9,,-41
U-Smash,10/25/41,77,,Charge hold frame is 5.,4.0 / 3.0 / 10.0,5/5/8,4/3/8,,-28
D-Smash,12/24,56,,Charge hold frame is 4,16.0 / 12.0,10/9,11/8,,-33/-24
N-Air,7,38,6,Autocancels on frame 1-3 and 36 onward,11.0 / 6.0,8/6,4/3,Early/Late,-2/-3
F-Air,16/24,51,11,Autocancels on frame 53 onward,8.0 / 10.0,7/10,4/4,,-7/-7
B-Air,6/15,30,6,Autocancels on frame 29 onward,5.0 / 7.0,6/7,3/3,,-3/-3
U-Air,11,59,14,Autocancels on frame 1-10 and 43 onward,15.0/ 13.0,12/11,5/5,Early/Late,-9
D-Air,14,79,19,"Autocancels on frame 1-9 and 65 onward. 
Can hit same target once again after 30 frames due to pogo effect",18.0 / 15.0,14/12,6/5,Early/Late,
Hero's Bow,16-52,44-80,,"Reaches full charge on 52 Arrows travel for 46 frames after being fired. And will stick into the ground 
for 3 seconds. When firing two arrows at once, the second one generates three frames after the first","4.0 - 12.0
","5-9
","2-4
","Uncharged-
Full Charge","-21/-15
"
Boomerang,27,45,,9 frame animation of catching boomerang if no other action is being performed.,8.0 / 9.6,7/8,3/4,Tilt/Smash,-8/-6
Spin Attack,7,76,,Can charge attack for an additional 60 frames. Startup is 4 from charge state.,14.0,14,13,,-56
Spin Attack (air),8/16/22/31/47,,30,,4.0 / 2.0 / 4.0,5/4/11,5/3/5,First/multi/Final,
Remote Bomb (pull),,39,,,,,,,
Remote Bomb (detonate),12,39,,Link is not immune to his own bombs.,7.0,7,3,,-19
Grab,6,34,,,,,,,
Dash Grab ,9,42,,,,,,,
Pivot Grab,10,37,,,,,,,
Forward Throw,12/13,37,,,,,,,
Back Throw,12/14,38,,,,,,,
Up Throw,26/28,49,,,,,,,
Down Throw,22/24,48,,,,,,,
,,,,,,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17,,,,,
Forward Roll,,30,,Invulnerable on frame 4-15,,,,,
Back Roll,,35,,Invulnerable on frame 5-16 ,,,,,
Neutral Air Dodge,,49,10,Invulnerable on frame 3-30,,,,,
Dir. AD (down),,69,11-19,Invulnerable on frame 4-21,,,,,
Dir. AD (diagonally down),,74,11-19,Invulnerable on frame 4-21,,,,,
Dir. AD (left or right),,82,11-19,Invulnerable on frame 4-21,,,,,
Dir. AD (diagonally up),,95,11-19,Invulnerable on frame 4-21,,,,,
Dir. AD (up),,108,11-19,Invulnerable on frame 4-21,,,,,
