,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab 1,3,15,,Transitions to Jab 2 as early as frame 4,1.7,8,3,,-9
Jab 2,3,15,,Transitions to Rapid Jab as early as frame 5 ,1.6,5,3,,-9
Rapid Jab,7/9/11...,,,,0.2,4,-,,
Rapid finisher.,3,39,,,3.0,15,4,,-32
F-Tilt,5,23,,,8.0 / 7.0,7/7,8/7,Close/Far,-14/-15
U-Tilt,4,20,,Leg intangibility on frame 4-10,5.0 / 4.0,6/5,6/5,Early/late,-10
D-Tilt,4,20,,,6.0,6,6,,-10
Dash Attack,9,59,,,12.0 / 9.0 / 6.0,,,Early/late/latest,
F-Smash ,13,47,,Charge hold is frame 4,15.0 / 11.0,12/8,10/8,Early/late,-24
U-Smash,12,45,,Leg intangibility on frame 12-17. Charge hold is frame 8.,15.0 / 14.0 / 12.0,10/9/9,10/9/8,close/far/late,-23/-24
D-Smash,10,53,,Leg intangibility on frame 5-14. Charge hold is frame 4.,14.0,10,10,,-33
N-Air,10,62,6,Autocancels on frame 1-4 and 56 onward,10.0 / 4.0,8/5,4/3,Early/late,-2/-3
F-Air,10/17/25,47,8,Autocancels on frame 1-9 and 41 onward,4.0 / 3.0 / 5.0,5/5/7,3/2/3,,-5/-6/-5
B-Air,6,40,10,Autocancels on frame 1-2 and 32 onward,13.0 / 8.0,11/7,5/4,Early/late,-5/-6
U-Air,10,37,7,Autocancels on frame 1-9 and 22 onward,9.0,7,4,,-3
D-Air,18/21/24/27/30/34,54,16,Landing hit on frame 1. Autocancels on frame 1-17 and 48 onward,1.2 / 2.0 / 2.0,4/4/4,2/3/3,multi/final/landing,-12
Inhale,14,67,,"Minimum total frames is 67. Endlag is 19 frames upon release. 
Can eat projectiles. Projectile eat animation is 51 frames long",,,,,
Inhale (copy/spit),8/8,20/30,,,,,,,
Hammer Flip (release),11 (+15),54,,Startup is 11 from charging state. Takes 15 frames to enter charging state.,19.0 - 28.8,14-16,17-25,,-26 to -18
Hammer Flip (full charge),11,59,,"invulnerable on frame 2-10 if on the ground and Super armor on frame 11-17
Reaches full charge on frame 135.",35.0,18,30,,-18
"Hammer Flip (air, no charge)",28/42,71,,,16.0,10/10,14/14,,
Final Cutter,23/41,,30,Projectile appears on frame 1 of landing and disappears on 18.,5.0 / 2.0 / 5.0,6/4/6,6/3/3,,-21
Stone ,11,,,Emerging from stone is a 31 frame animation. Stone armor begins on frame 11,14.0,10,13,,
Stone (air),29,,,Stone armor begins on frame 19,18.0,11,16,,-15
Grab,6,34,,,,,,,
Dash Grab ,9,41,,,,,,,
Pivot Grab,10,36,,,,,,,
Forward Throw,45,58,,,,,,,
Back Throw,41,49,,,,,,,
Up Throw,58,86,,Startup and total frames assume level ground. Endlag is always 30 after landing.,,,,,
Down Throw,"9/12/15/18/21/
24/27/30/33/48/50",79,,,,,,,
,,,,,,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17,,,,,
Forward Roll,,30,,Invulnerable on frame 4-15,,,,,
Back Roll,,35,,Invulnerable on frame 5-16,,,,,
Neutral Air Dodge,,62,10,Invulnerable on frame 3-29,,,,,
Dir. AD (down),,82,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally down),,91,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (left or right),,102,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally up),,134,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (up),,141,11-19,Invulnerable on frame 3-21,,,,,
