,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab 1,3,17,,Transition to Jab 2 as early as frame 5. ,1.5,7,3,,-11
Jab 2,5,18,,Transitions to Jab 3 or Rapid Jab as early as frame 8. ,1.5,5,3,,-10
Jab 3,6,32,,,5.0,12,6,,-20
Rapid Jab,5/7/9...,,,,0.6,4,-,,
Rapid Finisher,6,49,,,3.0,10,4,,-39
F-Tilt,7,29,,Damage and shieldstun increases by 1.0 when angled,8.0 / 9.0,7/7,8/9,close/far,-14/-13
U-Tilt,17,39,,,11.0,8,10,,-12
D-Tilt,11,34,,,10.0,8,10,,-13
Dash Attack,7,37,,,10.0 / 6.0,10/8,17/11,early / late,-13
F-Smash ,19,59,,Charge hold is frame 11,19.0 / 20.0,12/12,13/13,no angle/angled,-27
U-Smash,22/28,45,,Charge hold is frame 8,7.0 / 12.0 / 14.0,7/9/10,6/8/10,close/far/second,-7
D-Smash,19/29,48,,Leg intangibility on frame 14-16. Charge hold is frame 11,14.0 / 18.0,10/11,10/12,,-19/-7
N-Air,7/13,39,7,Autocancels on frame 1-3 and 32 onward,4.0 / 6.0,5/6,3/3,,-4/-4
F-Air,14,45,18,Autocancels on frame 1-4 and 42 onward,22.0 / 3.0,17/5,7/2,Early/late,-11/-15
B-Air,10,35,10,Autocancels on frame 1-4 and 19 onward,13.0 / 8.0,9/6,5/3,Early/late,-5/-7
U-Air,7,31,10,Autocancels on frame 24 onward,10.0 / 9.0 / 8.0,8/7/7,4/4/4,close/far/late,-6/-6/-6
D-Air,16,44,12,Autocancels on frame 1-3 and 39 onward,14.0,10,5,,-7
Falcon Punch (normal/turnaround),53/62,103/117,,,25.0 / 28.0,17/17,22/24,,-28/-31
Raptor Boost,6 (+10),28/71,,"Startup is 6 upon reaching target. On hit total frames is 28. Proximity sensor is active starting on 10.
Total frames on a miss is 71. The new armor activates on frame 1 of reaching a target.",10.0,12,10,,-12
Raptor Boost (air),5 (+19),,22,39 endlag on hit. Startup is 5 upon reaching a target. Proximity sensor active starting on 19.,10.0,12,10,,
Falcon Dive,14,,24,54 frames endlag when successful.,,,,,
Falcon Kick,15,70/67,,Total frames is 70 on the ground or 67 if you go over an edge.,15.0 / 11.0 / 7.0,10/8/7,14/10/7,Early/late/later,-51
Falcon Kick (air),16,58,35,Landing hit on frame 1.,15.0 / 9.0,12/7,14/9,Early/landing,-25
Grab,6,35,,,,,,,
Dash Grab ,9,43,,,,,,,
Pivot Grab,10,38,,,,,,,
Forward Throw,11/13,32,,,,,,,
Back Throw,12/13,45,,,,,,,
Up Throw,12/14,37,,,,,,,
Down Throw,15,33,,,,,,,
,,,,,,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17 ,,,,,
Forward Roll,,30,,Invulnerable on frame 4-15,,,,,
Back Roll,,35,,Invulnerable on frame 5-16,,,,,
Neutral Air Dodge,,42,10,Invulnerable on frame 3-30 ,,,,,
Dir. AD (down),,62,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally down),,66,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (left or right),,72,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally up),,85,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (up),,94,11-19,Invulnerable on frame 3-21,,,,,
