,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab 1,7,25,,Transitions to Jab 2 as early as frame 10. Arm intangibility on frame 7-8,4.0,8,5,,-13
Jab 2,9,25,,Arm intangibility on frame 9-11,7.0,12,7,,-9
F-Tilt,10,37,,Damage based heavy armor on frame 7-9. Arm intangibility on frame 10-14,13.0,9,12,,-15
U-Tilt,11,40,,Damage based heavy armor on frame 8-10. Arm intangibility on frame 11-16,11.0,8,10,,-19
D-Tilt,10/15,45,,Damage based heavy armor on frame 7-9. Arm intangibility on frame 10-12 and 15-17,7.0 / 8.0,7/7,-/8,,-22
Dash Attack,11,55,,,12.0 / 10.0,9/8,11/10,Early/Late,-33
F-Smash ,22,69,,Damage based heavy armor frame 17-19. Leg Invincible 20-25. Charge hold frame 3,23.0,14,15,,-32
U-Smash,16/37,57,,Damage based heavy armor frame 11-13 and 28-31. Invincible 14-27. Charge hold frame 9,22.0 / 16.0 / 12.0,13/10/9,14/11/8,"Sweet/sour/
landing hit",-27/-30/-12
D-Smash,12/28,72,,Damage based heavy armor frame 5-11. Charge hold is frame 4,16.0 / 15.0,10/10,11/10,,-49/-34
N-Air,8/14/18,47,15,Autocancels on frame 1-3 and 41 onward,6.0,6,3,,-12
F-Air,11,41,14,Autocancels on frame 1-3 and 31 onward,13.0 / 12.0,9/8,5/4,Far/close,-9/-10
B-Air,9,44,24,Autocancels on frame 1-2 and 31 onward,19.0,12,7,,-17
U-Air,9,44,17,Head intangibility on frame 3-13. Autocancels on frame 1-2 and 40 onward,15.0,10,5,,-12
D-Air,17,77,35,Landing hit on frame 1. Autocancels on frame 1-13 and 70 onward,16.0 / 2.0,10/4,6/3,Normal/landing,-31
Fire Breath,23/30/37/44,77,,Total frames is minimum usage. Endlag is 31 frames on release.,1.8,4,2,,
Flying Slam,6,52,,"40 frames endlag after a slam, but can be cancelled by landing on a platform.
23 frames of invulnerability after a successful grab",,,,,
Flying Slam (air),6,52,,,,,,,
Whirling Fortress,6/11/16/21/26/31/36/39,81,,,1.0 / 6.0,4/6,2/6,Multi/Final,-36
Whirling Fortress (air),6/8/12/16/20/24/28/32/36/40/44/48,,36,,7.0 / 1.0 / 2.0,7/3/6,-/2/3,First/multi/final,
Bowser Bomb,11/37,,,Landing hit on frame 1.,4.0 / 20.0 / 11.0,5/12/8,5/18/-,Rise/fall/landing,
Bowser Bomb (air),31,,55,Landing hit on frame 1.,20.0 / 11.0,12/8,18/-,Fall/landing,
Grab,8,40,,,,,,,
Dash Grab ,11,48,,,,,,,
Pivot Grab ,12,43,,,,,,,
Forward Throw,36,58,,,,,,,
Back Throw,19,38,,,,,,,
Up Throw,21/25/29/33/37/41/45/49/57,74,,,,,,,
Down Throw,35/37,84,,,,,,,
,,,,,,,,,
Spot Dodge,,23/28,,Invulnerable on frame 3-18 ,,,,,
Forward Roll,,32,,Invulnerable on frame 4-16,,,,,
Back Roll,,37,,Invulnerable on frame 5-17 ,,,,,
Neutral Air Dodge,,46,10,Invulnerable on frame 4-32,,,,,
Dir. AD (down),,63,11-19,Invulnerable on frame 4-22,,,,,
Dir. AD (diagonally down),,67,11-19,Invulnerable on frame 4-22,,,,,
Dir. AD (left or right),,75,11-19,Invulnerable on frame 4-22,,,,,
Dir. AD (diagonally up),,88,11-19,Invulnerable on frame 4-22,,,,,
Dir. AD (up),,95,11-19,Invulnerable on frame 4-22,,,,,
