,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab ,4/7,24,,Transitions to rapid jab as early as frame 9.,2.5 / 2.5,5/5,-/4,,-13
Rapid Jab,3/5/7...,,,,0.2,4,2,,
Rapid Finisher,6,42,,,3.0,10,4,,-32
F-Tilt,12,36,,,10.0 / 12.0,8/9,10/11,,-14/-13
U-Tilt,7,29,,,7.2,7,7,,-15
D-Tilt,5,21,,,5.5,6,6,,-10
Dash Attack,6,35,,,12.0 / 6.0,11/6,11/6,,-18
F-Smash ,16/18/20/22/24,49,,Charge hold is frame 10,1.0 / 13.0,4/9,-/9,,-16
U-Smash,9/13/17/21/25/29/34,63,,Charge hold is frame 3,2.0 / 0.8 / 5.0,4/4/12,3/2/4,,-25
D-Smash,5/13,37,,Charge hold is frame 2,12.0 / 10.0,9/8,8/7,,-24/-17
N-Air,6/10/14/18/22,50,15,Autocancels on frame 1-3 and 38 onward,2.5 / 5.0,5/12,2/3,,-13/-12
F-Air,6,49,15,Autocancels on frame 1-2 and 43 onward,20.0 / 4.0,16/5,7/3,,-8/-12
B-Air,6,49,16,Autocancels on frame 1-2 and 45 onward,20.0 / 4.0,16/5,7/3,,-8/-12
U-Air,14,54,12,Autocancels on frame 1-3 and 54 onward,17.0,11,6,,-6
D-Air,14,44,12,Autocancels on frame 1-3 and 40 onward,16.0 / 4.0,10/5,6/3,,-6/-9
Nayru's Love,11/15/19/26,57,,Invulnerable on frame 4-13. Reflects on 5-41.,2.0 / 5.0,0/0,3/6,,-25
Din's Fire,44-70,69-97,,"On release, startup is 14 and total frames is 39",3.5 - 14.0,5-10,2-5,,-18 to -10
Farore's Wind,6/35,65,30,Total frames is when landing on the ground. Invulnerable on frame 11-35,6.0 / 12.0,6/13,6/11,,-19
Phantom Slash,26/32/38/46/59-127,66/39,,"Startup values correspond to different stages of construction. Manual release total frames is 39. 
Takes 66 frames to reach final form. Startup for each stage of construction in order is 11,8,8,7,8,7
Fully constructed phantom activates automatically on frame 120. Advantage is for manual release",4.7 - 14.1,6-10,3-5,,-19 to -17
Grab,10,39,,,,,,,
Dash Grab ,13,47,,,,,,,
Pivot Grab,14,42,,,,,,,
Forward Throw,30,49,,,,,,,
Back Throw,27,49,,,,,,,
Up Throw,30,49,,,,,,,
Down Throw,25/30/35/39/42,61,,,,,,,
,,,,,,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17,,,,,
Forward Roll,,30,,Invulnerable on frame 4-15 ,,,,,
Back Roll,,35,,Invulnerable on frame 5-16 ,,,,,
Neutral Air Dodge,,56,10,Invulnerable on frame 3-30 ,,,,,
Dir. AD (down),,77,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally down),,86,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (left or right),,96,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (diagonally up),,114,11-19,Invulnerable on frame 3-21,,,,,
Dir. AD (up),,129,11-19,Invulnerable on frame 3-21,,,,,
