,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab ,2,16,,Transitions to next Jab as early as frame 7.,1.2,4,2,,-12
F-Tilt,5,24,,0.7 base recoil damage,8.0,11,8,,-11
U-Tilt,7,23,,,5.0,6,6,,-10
D-Tilt,7,18,,,6.0,6,6,,-5
Dash Attack,6,34,,,8.0 / 6.0,7/6,8/6,Early/Late,-20
F-Smash ,16/19/22/25/28/31,49,,Charge hold is frame 13. 1.5 base recoil damage,2.0 / 8.0,7/11,-/6,Multi/Final,-12
U-Smash,9,40,,Ear intangibility on frame 9-11. Charge hold is frame 4.,14.0,10,10,,-21
D-Smash,8/11/15/19/23,50,,Invulnerable on frame 7-10. Charge hold is frame 4. 0.8 base recoil damage,1.5 / 8.0,7/11,2/6,Multi/Final,-21
N-Air,3,39,7,Autocancels on frame 1-2 and 35 onward,7.0 / 5.0,7/6,3/3,Early/Late,-4/-4
F-Air,10/14/18/22,39,12,Autocancels on frame 1-9 and 34 onward. 1.0 base recoil damage,3.5 / 3.5,8/8,2/2,Multi/Final,-10/-10
B-Air,5/11/15/19/26/30,54,18,Autocancels on frame 1-4 and 38 onward. 1.0 base recoil damage,2.0 / 2.5,7/7,2/2,Multi/Final,-16/-16
U-Air,4,26,11,Autocancels on frame 1-3 and 18 onward,4.0,5,3,,-8
D-Air,14,47,22,"Ear intangibility on frame 14-17. Landing hit on frame 1. Autocancels on frame 32 onward
Recoil damage is 1.0 when hitbox comes out and 0.5 on landing",13.0 / 12.0 / 4.0,14/13/8,5/5/5,"Early/Late/
Landing",-16
Thunder Jolt (projectile/arc),18,51,,,10.0 / 7.0 - 5.0,12/10-9,4/3-3,,-29/-30
Skull Bash,17,96/86,,25 on hit endlag. Second total frames is from the air. Startup is 5 from charge release.,4.0 - 33.0,8-18,5-28,,-20 to +3
Agility,,53/70,24,"Total frames is for one/two dashes ending on the ground. 0.6 base recoil damage on first dash, and 1.4 on second",,,,,
Thunder (projectile/discharge),9/26,86/66,,First total frames is if the bolt misses. Invulnerable on frame 26-35 if bolt hits and incurs 3.0 base recoil damage,4.0 / 14.0,8/15,2/13,,-27
Grab,6,31,,,,,,,
Dash Grab ,8,39,,,,,,,
Pivot Grab,9,36,,,,,,,
Forward Throw,11/15/19/23/27,43,,0.5 base recoil damage,,,,,
Back Throw,26,49,,,,,,,
Up Throw,14/15,35,,,,,,,
Down Throw,14/19,39,,,,,,,
,,,,,,,,,
Spot Dodge,,19/24,,Invulnerable on frame 3-16,,,,,
Forward Roll,,28,,Invulnerable on frame 4-14,,,,,
Back Roll,,33,,Invulnerable on frame 4-15,,,,,
Neutral Air Dodge,,42,10,Invulnerable on frame 2-26,,,,,
Dir. AD (down),,60,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (diagonally down),,65,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (left or right),,70,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (diagonally up),,80,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (up),,88,11-19,Invulnerable on frame 2-19,,,,,
