,Startup,Total Frames,Landing Lag,Additional Notes,Base Damage,Shieldlag,Shieldstun,<-Which hitbox?,Advantage
Jab ,6,19,,Transitions to Jab 2 as early as frame 9.,2.0,7,3,,-10
Jab 2,6,16,,Transitions to Jab 3 as early as frame 9 and Rapid Jab on 11,1.5,5,3,,-7
Jab 3,6,35,,,3.5,11,4,,-25
Rapid Jab,3/5/7...,,,,0.3,4,-,,
Rapid Finisher,4,45,,,2.5,10,4,,-37
F-Tilt,10,33,,,12.0 / 11.0,11/8,11/10,Close/far,-12/-13
U-Tilt,9,31,,,8.0,7,8,,-14
D-Tilt,8,25,,,10.0 / 9.0 / 7.0,8/7/7,10/9/7,Close/medium/far,-7/-8/-10
Dash Attack,8,34,,,11.0 / 10.0,10/8,10/10,Close/far,-16
F-Smash 1,15,47,,Transitions to Fsmash 2 as early as frame 20. Charge hold is frame 9,6.0,6,5,,-27
F-Smash 2,11,49,,,12.0,13,8,,-30
U-Smash,10/25/41,69,,Charge hold is frame 5,3.0 / 8.0,5/7,3/6,Multi/final,-22
D-Smash,9/21,49,,Charge hold is frame 3,"13.0 / 10.0 / 
12.0 / 9.0",9/8/9/7,9/7/8/7,"Close/far
Close/far","-31/-33/
-20/-21"
N-Air,4,35,6,Autocancels on frame 1-3 and 32 onward,10.0 / 5.0,8/6,4/3,Early/Late,-2/-3
F-Air,14/24,40,6,Autocancels on frame 41 onward,6.0 / 8.0,6/9,3/4,,-3/-2
B-Air,6/18,29,6,Autocancels on frame 29 onward,5.0 / 7.0,6/8,3/3,,-3/-3
U-Air,5,59,14,Autocancels on frame 1-4 and 56 onward,12.0,9,5,,-9
D-Air,13,79,17,"Autocancels on frame 1-12 and 65 onward. 
Can hit same target once again after 30 frames during pogo effect.",18.0 / 15.0,14/12,6/5,Early/Late,
Z-Air,11,73,8,,4.0,5,5,,-3
Fire Arrow,14-47,37-70,,"On release, startup is 1 and total frames is 24.",4.0 - 12.0,5-9,2-4,,-16 to-10
Boomerang,27,45,,,7.0 - 13.2 / 2.0,7-9 / 4,3-5 / 2,,-8 to -4
Spin Attack,9/13/17/21/25/29/33/37/41/45/49,70,,Can charge for up to 60 additional frames. Startup is 4 from charge.,1.0 / 3.0,4/9,2/4,,-17
Spin Attack (air),8/16/22/31/47,,24,,,,,,
Bomb pull,,39,,Fuse timer of ~4 seconds. Bomb explosion hits on frame 1/3/5/7,,,,,
Grab,12,51,,,,,,,
Dash Grab ,14,60,,,,,,,
Pivot Grab,15,55,,,,,,,
Forward Throw,11/13,39,,,,,,,
Back Throw,11/13,39,,,,,,,
Up Throw,26/29,49,,,,,,,
Down Throw,22/28,49,,,,,,,
,,,,,,,,,
Spot Dodge,,19/24,,Invulnerable on frame 3-16,,,,,
Forward Roll,,28,,Invulnerable on frame 4-14,,,,,
Back Roll,,33,,Invulnerable on frame 4-15,,,,,
Neutral Air Dodge,,45,10,Invulnerable on frame 2-26,,,,,
Dir. AD (down),,63,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (diagonally down),,70,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (left or right),,76,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (diagonally up),,90,11-19,Invulnerable on frame 2-19,,,,,
Dir. AD (up),,100,11-19,Invulnerable on frame 2-19,,,,,
