,Startup,Total Frames,Landing Lag,Additional Notes
Jab ,7,26,,
F-Tilt,10,39,,
U-Tilt,60,95,,
D-Tilt,10,35,,
Dash Attack,10,37,,
F-Smash,29,69,,Charge hold is frame 14
U-Smash,20,61,,Charge hold is frame 9
D-Smash,15/35,59,,Charge hold is frame 4
N-Air,7/17,41,10,Autocancels on frame 1-3 and 37 onward
F-Air,14,44,13,Autocancels on frame 1-6 and 45 onward
B-Air,10,35,11,Autocancels on frame 1-6 and 22 onward
U-Air,8,33,11,Autocancels on frame 25 onward
D-Air,16,44,16,Autocancels on frame 1-3 and 32 onward
Warlock Punch (normal/reversed),70/80,117/127,,Super armor frame 11-66 on the ground version
Flame Choke,16,59,,Damage dealt 32 frames after a grab. 57 total frames.
Flame Choke (success),32,57,,
Flame Choke (air),16,,29/20,29 landing lag if you don't enter special fall. 20 if you do.
Flame Choke (air success),,,37,Damage dealt on frame 1 of landing.
Dark Dive,14/34,,30,
Dark Dive (grab success),3/11/19/27/32,80,,
Wizard's Foot,16,60/68,,Total frames is 68 if you go over an edge.
Wizard's Foot (air),16,57,44,Hitbox on frame 2 of landing.
Grab,8,38,,
Dash Grab ,11,46,,
Pivot Grab,12,41,,
Forward Throw,11/13,39,,
Back Throw,12/14,49,,
Up Throw,11/13,43,,
Down Throw,23,39,,
,,,,
Spot Dodge,,23/28,,Invulnerable on frame 3-18 
Forward Roll,,32,,Invulnerable on frame 4-16 
Back Roll,,37,,Invulnerable on frame 5-17
Neutral Air Dodge,,46,10,Invulnerable on frame 4-32 
Dir. AD (down),,66,11-19,Invulnerable on frame 4-22
Dir. AD (diagonally down),,73,11-19,Invulnerable on frame 4-22
Dir. AD (left or right),,79,11-19,Invulnerable on frame 4-22
Dir. AD (diagonally up),,91,11-19,Invulnerable on frame 4-22
Dir. AD (up),,103,11-19,Invulnerable on frame 4-22
