,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,5,26,,Transitions to jab 2 as early as frame 8
Jab 2,5,29,,Transitions to jab 3 as ealy as frame 8. To rapid jab as early as 7
Jab 3,3,31,,
Rapid Jab,6/8/10,,,
Rapid Finisher,4,47,,
F-Tilt ,10,39,,
U-Tilt,6/15,34,,
D-Tilt,6,25,,
Dash Attack,7,38,,
F-Smash,10/21,54,,Charge hold is frame 3
U-Smash,6/10/18,51,,Charge hold is frame 2
D-Smash,5/18,40,,
N-Air,4/7/10/13/16/19/22/25,54,14,Autocancels on frame 1-3 and 30 onward
F-Air,11/14/18,46,12,Autocancels on frame 28 onward
B-Air,10,40,11,Autocancels on frame 28 onward
U-Air,12/15/18/21/24,49,14,Autocancels on frame 1-4 and 37 onward
D-Air,10,36,14,Autocancels on frame 1-6 and 36 onward
Palutena's Bow/Silver Bow,16-76,46-106,,Total frames reduced by 3 in the air.
Upperdash/Electroshock Arm,18,79/49,,Startup is 2 upon reaching a target. 47 endlag on the swing.
Uppderdash/Electroshock Arm (air),21,104/49,30,Startup is 2 upon reaching a target. 47 endlag on the swing
Power of Flight,,,40,"invulnerable on frame 9-19, 15-19 in the air."
Guardian Orbitars,,49-129,,Reflects as early as 7. 23 endlag on release.
Grab,6,34,,
Dash Grab ,9,42,,
Pivot Grab,10,37,,
Forward Throw,12/14,27,,
Back Throw,29,38,,
Up Throw,13/15,37,,
Down Throw,13/16,31,,
,,,,
Spot Dodge,,20/25,,Invulnerable on frame 3-17
Forward Roll,,29,,Invulnerable on frame 4-15
Back Roll,,34,,Invulnerable on frame 5-16
Neutral Air Dodge,,52,10,Invulnerable on frame 3-29 
Dir. AD (down),,73,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally down),,82,11-19,Invulnerable on frame 3-21
Dir. AD (left or right),,89,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally up),,110,11-19,Invulnerable on frame 3-21
Dir. AD (up),,119,11-19,Invulnerable on frame 3-21
