,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,8,29,,Transitions to Jab 2 as early as frame 10.
Jab 2,4,33,,
F-Tilt ,12,39,,
U-Tilt,8,27,,
D-Tilt,5,17,,
Dash Attack,5,48,,
F-Smash,18,65,,Charge hold is frame 4
U-Smash,11,57,,Head intangibility on frame 8-14. Charge hold is frame 4
D-Smash,8,61,,Charge hold is frame 2
N-Air,4/20,45,7,Autocancels on frame 1-3 and 43 onward
F-Air,5,37,10,Autocancels on frame 1-4 and 27 onward
B-Air,9,49,16,Autocancels on frame 1-4 and 34 onward
U-Air,8,46,7,Autocancels on frame 1-3 and 37 onward
D-Air,9/11/13/15/17/19/21,47,18,Autocancels on frame 1-2 and 42 onward
Chomp,8,41,,25 endlag from release of the button.
Chomp (grab release),11,19,,
Wario Bike,20,,,Jump animation takes 28 frames.
Wario Bike (wheelie),4/54,64,,
Wario Bike (turnaround),6,45,,
Corkscrew,6/8/12/16/20/29,,20,
Wario Waft (first stage),16,79,,
Wario Waft (second stage),10,64,,
Wario Waft (third stage),5,49,,
Wario Waft (final stage),9,60,,
Grab,8,35,,
Dash Grab ,11,43,,
Pivot Grab,12,38,,
Forward Throw,20/21,54,,
Back Throw,48,70,,
Up Throw,24/25,43,,
Down Throw,22/30,54,,
,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17
Forward Roll,,30,,Invulnerable on frame 4-15 
Back Roll,,35,,Invulnerable on frame 5-16
Neutral Air Dodge,,50,10,Invulnerable on frame 3-29 
Dir. AD (down),,66,11-19,invulnerable on frame 3-21
Dir. AD (diagonally down),,75,11-19,invulnerable on frame 3-21
Dir. AD (left or right),,82,11-19,invulnerable on frame 3-21
Dir. AD (diagonally up),,97,11-19,invulnerable on frame 3-21
Dir. AD (up),,104,11-19,invulnerable on frame 3-21
