,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,7,27,,Transitions to Jab 2 as early as frame 10.
Jab 2,5,27,,Transitions to Rapid jab as early as frame 10.
Rapid Jab,4/7/10...,,,
Rapid Finisher,4,39,,
F-Tilt ,10/12/14/16/18/20/22,45,,
U-Tilt,7,32,,
D-Tilt,4,31,,
Dash Attack,4,43,,
F-Smash,15,59,,Charge hold is frame 9
U-Smash,26,59,,Charge hold is frame 7
D-Smash,13,45,,Charge hold is frame 6
N-Air,7/10/13/16/19/22/25/28,41,16,Autocancels on frame 1-3 and 41 onward
F-Air,14,48,13,Autocancels on frame 1-2 and 39 onward
B-Air,7/13,43,7,Autocancels on frame 1-6 and 43 onward
U-Air,12,51,11,Autocancels on frame 41 onward
D-Air,11,63,13,Autocancels on frame 1-2 and 52 onward
Bullet Seed,7/13/20/26/32/38,79,,"Startup is initial launcher than the timing each bullet spawns, not necessarily when they impact. Numbers refer to minimum use."
Razor Leaf,22,46,,
Vine Whip,15,47,,Tethers on frame 13. Does not induce special fall.
Pokemon Change,,39,,Invulnerable on frame 1-25. ~140 frame period before you can change again.
Grab,13,42,,
Dash Grab ,13,48,,
Pivot Grab ,13,44,,
Forward Throw,16/17,37,,
Back Throw,20,35,,
Up Throw,20/21,39,,
Down Throw,19,34,,
,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17
Forward Roll,,30,,Invulnerable on frame 4-15
Back Roll,,35,,Invulnerable on frame 5-16
Neutral Air Dodge,,56,10,Invulnerable on frame 3-29. 
Dir. AD (down),,76,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally down),,84,11-19,Invulnerable on frame 3-21
Dir. AD (left or right),,93,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally up),,110,11-19,Invulnerable on frame 3-21
Dir. AD (up),,124,11-19,Invulnerable on frame 3-21
