,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,4,22,,Transitions to jab 2 as early as frame 7
Jab 2,5,25,,Transitions to jab 3 as early as frame 8 
Jab 3,7,33,,
F-Tilt ,12,37,,
U-Tilt,9,33,,
D-Tilt,9,30,,
Dash Attack,10,39,,
F-Smash,22,69,,Invulnerable on frame 20-24. Charge hold is frame 15
U-Smash,6/14,46,,Charge hold is frame 2
D-Smash,14,60,,Charge hold is frame 1
N-Air,8,39,13,Autocancels on frame 1-3 and 31 onward 
F-Air,8,45,19,Autocancels on frame 1-4 and 35 onward
B-Air,14,45,20,Autocancels on frame 1-3 and 44 onward
U-Air,12,45,13,Head intangibility on frame 11-15. Autocancels on frame 1-3 and 38 onward
D-Air,18,51,21,Autocancels on frame 1-5 and 42 onward
Flamethrower,19/26/33/40,70,,Startup and total frames are the minimum. Endlag is 27 from extended use
Flare Blitz,23/24,101,,"58 endlag on hit if nothing catches your fall first. Lands on 48 on level ground 
and can input a wakeup move on 73. Total frames is when you don't hit anything"
Fly,9/16/19/22/25/27,,30,Super armor on frame 4-15
Pokemon Change,,39,,Invulnerable on frame 1-25. ~140 frame period before you can change again.
Grab,8,39,,
Dash Grab ,11,45,,
Pivot Grab,12,42,,
Forward Throw,27,59,,
Back Throw,26,32,,
Up Throw,52/58,79,,
Down Throw,24/30/36/42/48/55,76,,
,,,,
Spot Dodge,,23/28,,Invulnerable on frame 3-18
Forward Roll,,32,,Invulnerable on frame 4-16
Back Roll,,37,,Invulnerable on frame 5-17 
Neutral Air Dodge,,49,10,Invulnerable on frame 3-30
Dir. AD (down),,70,11-19,Invulnerable on frame 3-22
Dir. AD (diagonally down),,78,11-19,Invulnerable on frame 3-22
Dir. AD (left or right),,85,11-19,Invulnerable on frame 3-22
Dir. AD (diagonally up),,99,11-19,Invulnerable on frame 3-22
Dir. AD (up),,105,11-19,Invulnerable on frame 3-22
