,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,3,19,,Transitions to jab 2 as ealy as frame 6
Jab 2,5,20,,Transitions to jab 3 as early as frame 6
Jab 3,5,34,,
F-Tilt ,10,36,,
U-Tilt,6,29,,
D-Tilt,4,18,,
Dash Attack,9/18/24,42,,
F-Smash,12/21,50,,Charge hold is frame 4
U-Smash,5/12/19,53,,Charge hold is frame 1
D-Smash,9/14,52,,Charge hold is frame 2
N-Air,8,48,8,Autocancels on frame 1-3 and 27 onward
F-Air,6,46,16,Autocancels on frame 1-2 and 26 onward
B-Air,5,30,7,Autocancels on frame 1-2 and 20 onward
U-Air,4,36,13,Autocancels on frame 27 onward
D-Air,17,48,17,Autocancels on frame 1-16 and 37 onward
Peanut Popgun,16/17,48,,Melee hitbox generated on frame after projectile
Peanut Popgun (misfire),123,228,,You can cancel charge into shield/air dodge as early as frame 14.
Monkey Flip,18,47/61,26,"First total frames is in the air, second is along level ground."
Monkey Flip (attack),6,32,18,Total frames is in the air.
Monkey Flip (grab success),11/29/56...,,,
Monkey Flip (grab attack),18/21,36,,
Monkey Flip (grab jump),18/27,42,,
Rocketbarrel Boost,8-68,,30,
Banana Peel,,39,,Item generated on frame 20
Grab,7,36,,
Dash Grab ,10,44,,
Pivot Grab,11,39,,
Forward Throw,21,31,,
Back Throw,18,51,,
Up Throw,17/18,26,,
Down Throw,22,31,,
,,,,
Spot Dodge,,19/24,,Invulnerable on frame 3-16 
Forward Roll,,28,,Invulnerable on frame 4-14 
Back Roll,,33,,Invulnerable on frame 4-15
Neutral Air Dodge,,44,10,Invulnerable on frame 2-27 
Dir. AD (down),,62,11-19,Invulnerable on frame 2-19
Dir. AD (diagonally down),,68,11-19,Invulnerable on frame 2-19
Dir. AD (left or right),,74,11-19,Invulnerable on frame 2-19
Dir. AD (diagonally up),,86,11-19,Invulnerable on frame 2-19
Dir. AD (up),,96,11-19,Invulnerable on frame 2-19
