,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,3,19,,Transitions to jab 2 as early as frame 7
Jab 2,2,21,,Transitions to jab 3 as early as frame 6
Jab 3,4,35,,
F-Tilt ,6/8,35,,
U-Tilt,6/13,39,,
D-Tilt,6,27,,
Dash Attack,5,49,,
F-Smash,18,47,,Charge hold is frame 12
U-Smash,18/21/23/25/27/29/31/33,65,,Invulnerable on frame 18-20. Charge hold is frame 13
D-Smash,12,54,,Charge hold is frame 5
N-Air,6,49,10,Autocancels on frame 48 onward
F-Air,5/7/9/11/13/15,45,16,Autocancels on frame 1-2 and 34 onward
B-Air,13,37,15,Autocancels on frame 1-4 and 33 onward
U-Air,5/14,39,13,Autocancels on frame 1-4 and 16 onward
D-Air,17,45,21,Autocancels on frame 1-3 and 41 onward
Homing Attack,17-82,,,26 endlag on hit
Spin Dash,17/29,,,Invulnerable frame 17-22. Startup is 1 from a charging state with six I-frames. Stops on shields. Endlag for that is 28.
Spring Jump,4,18,10,Invulnerable on frame 5-7. Landing lag state can be overwritten with other actions. No projectile on ground version.
Spin Charge,15/17/19/21,59,,Startup and total frames refer to minimum charge.
Spin Dash/Spin Charge (jump),3,10,,Jumping from an air version generates no hitbox or endlag.
Grab,7,37,,
Dash Grab ,10,47,,
Pivot Grab,11,39,,
Forward Throw,10/11,37,,
Back Throw,43,66,,
Up Throw,22/23,42,,
Down Throw,18/26/34/42,74,,
,,,,
Spot Dodge,,19/24,,Invulnerable on frame 3-16 
Forward Roll,,28,,Invulnerable on frame 4-14
Back Roll,,33,,Invulnerable on frame 4-15
Neutral Air Dodge,,50,10,Invulnerable on frame 2-26
Dir. AD (down),,66,11-19,Invulnerable on frame 2-19
Dir. AD (diagonally down),,74,11-19,Invulnerable on frame 2-19
Dir. AD (left or right),,81,11-19,Invulnerable on frame 2-19
Dir. AD (diagonally up),,99,11-19,Invulnerable on frame 2-19
Dir. AD (up),,107,11-19,Invulnerable on frame 2-19
