,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,4,21,,Transitions to jab 2 as early as frame 7
Jab 2,4,21,,Transitions to jab 3 as early as frame 7
Jab 3,4,34,,
F-Tilt ,8/9,34,,
U-Tilt,7,35,,
D-Tilt,5,27,,
Dash Attack,11,37,,
F-Smash ,20,41,,Charge hold is frame 6
U-Smash,13/20,47,,Charge hold is frame 3
D-Smash,14/21,43,,Charge hold is frame 2
N-Air,7,42,9,Autocancels on frame 1-6 and 39 onward
F-Air,7,40,10,Autocancels on frame 30 onward
B-Air,13,44,15,Autocancels on frame 1-7 and 19 onward
U-Air,7,38,10,Autocancels on frame 1-3 and 31 onward
D-Air,16,53,19,Autocancels on frame 1-4 and 36 onward
Blaster,15/16,49,,
Wolf Flash,18,,29,Sweetspot is on frame 20. Can be slightly angled up or down
Fire Wolf,18/27/29/31/36,66,36,Total frames refers to travel along the ground
Reflector,7,31,,"Total frames refers to minimum usage. 12 endlag from extended usage. Invulnerable to projectiles 
on frame 4-9. Reflects on frame 10"
Grab,6,36,,
Dash Grab ,8,44,,
Pivot Grab,9,39,,
Forward Throw,10/11,32,,
Back Throw,23/24,47,,
Up Throw,26/27,45,,
Down Throw,26,40,,
,,,,
Spot Dodge,,20/25,,Invulnerable on frame 3-17
Forward Roll,,29,,Invulnerable on frame 4-15
Back Roll,,34,,Invulnerable on frame 5-16
Neutral Air Dodge,,44,10,Invulnerable on frame 2-26
Dir. AD (down),,61,11-19,Invulnerable on frame 2-20
Dir. AD (diagonally down),,68,11-19,Invulnerable on frame 2-20
Dir. AD (left or right),,73,11-19,Invulnerable on frame 2-20
Dir. AD (diagonally up),,84,11-19,Invulnerable on frame 2-20
Dir. AD (up),,93,11-19,Invulnerable on frame 2-20
