,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,1,21,,Transitions to jab 2 as early as frame 5
Jab 2,1,21,,Transitions to jab 3 as early as frame 5 
Jab 3,4,29,,
Rapid jab,4/6/8...,,,
Rapid finisher,5,34,,
F-Tilt ,4/12,37,,
U-Tilt,4,29,,
D-Tilt,3,25,,
Dash Attack,7,33,,
F-Smash ,14,43,,Super armor on frame 8-15. Charge hold is frame 4
F-Smash (up),14,43,,Super armor on frame 8-15. Charge hold is frame 4
F-Smash (down),15,43,,Super armor on frame 8-15. Charge hold is frame 4
U-Smash,10,47,,Super armor on frame 8-11. Charge hold is frame 6
D-Smash,10/17,42,,Super armor on frame 7-10 and 15-17. Charge hold is frame 5
N-Air,2,15,10,Autocancels on frame 16 onward
F-Air,10,36,13,Autocancels on frame 35 onward
B-Air,11,37,16,Autocancels on frame 36 onward
U-Air,5,41,13,Autocancels on frame 40 onward
D-Air,7,27,18,Autocancels on frame 25 onward
Straight Lunge (minimum charge),4 (+32),49,,"Must charge for 32 frames minimum before you are allowed to punch. 
Heavy armor on frame 1 of charge and lasts until the punch begins"
Straight Lunge (full charge),123,231,,
KO Punch,9,96/75,,75 total frames in the air. Super armor on frame 8-9 on the ground only
Jolt Haymaker (earliest/latest),8/25,60/74,,"Total frames assumes level ground. Going over an edge applies air total 
frames. Invulnerable on frame 1-3. Leg intangibility on frame 4-17, or until punch."
Jolt Haymaker (air) (earliest/latest),8/25,53/69,,"If you land, the lag corresponds to the remaining total frames of the ground version"
Rising Uppercut,3/7/11/15/19/27,,30,Invulnerable on frame 1-3.
Slip Counter,,62,,Invulnerable on frame 4. Counters on frame 5-27
Slip Counter (attack),16,47,,Invulnerable on frame 1-18
Grab,9,38,,
Dash Grab ,13,46,,
Pivot Grab,14,41,,
Forward Throw,15/17,44,,
Back Throw,17/19,47,,
Up Throw,10/12,40,,
Down Throw,14/16,44,,
,,,,
Spot Dodge,,18/23,,Invulnerable on frame 3-14 
Forward Roll,,26,,Invulnerable on frame 4-12
Back Roll,,32,,Invulnerable on frame 4-14
Neutral Air Dodge,,49,10,Invulnerable on frame 2-26 
Dir. AD (down),,62,11-19,Invulnerable on frame 2-18
Dir. AD (diagonally down),,64,11-19,Invulnerable on frame 2-18
Dir. AD (left or right),,72,11-19,Invulnerable on frame 2-18
Dir. AD (diagonally up),,81,11-19,Invulnerable on frame 2-18
Dir. AD (up),,89,11-19,Invulnerable on frame 2-18
