,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,3,21,,Transitions to jab 2 as early as frame 6
Jab 2,3,21,,Transitions to jab 3 as early as frame 6
Jab 3,5,35,,
Rapid jab,4/7/10...,,,
Rapid finisher,5,47,,
F-Tilt ,10,32,,
U-Tilt,9,32,,
D-Tilt,5,22,,
Dash Attack,7,28,,
F-Smash ,13,49,,Charge hold is frame 7
U-Smash,12/18,51,,Charge hold is frame 8
D-Smash,11,49,,Charge hold is frame 4
N-Air,12,52,7,Autocancels on frame 1-9 and 40 onward
F-Air,16,54,11,Autocancels on frame 1-12 and 40 onward
B-Air,5/7/11,40,10,Autocancels on frame 1-3 and 35 onward
U-Air,7/10/13/16/19/22,41,14,Autocancels on frame 1-2 and 35 onward
D-Air,17,51,30,"on-hit bounce animation takes 20 frames before you can act.
Autocancels on frame 1-2 and 53 onward"
Water Shuriken,20-60,45-81,,
Shadow Sneak,24 (+5),63,,Startup is 24 from release. Must ready this move for at least five frames.
Hydro Pump,19-,,32,
Substitute,,69,,Invulnerable on frame 7. Counters on frame 8-34
Substitute (attack),19,63,,Invulnerable on frame 1-33 in addition to 22 freeze frames.
Grab,10,38,,
Dash Grab ,13,46,,
Pivot Grab,14,41,,
Forward Throw,15/16,31,,
Back Throw,18,44,,
Up Throw,16,42,,
Down Throw,16,37,,
,,,,
Spot Dodge,,19/24,,Invulnerability on frame 3-16 
Forward Roll,,28,,Invulnerability on frame 4-14
Back Roll,,33,,Invulnerability on frame 4-15 
Neutral Air Dodge,,41,10,Invulnerability on frame 2-27
Dir. AD (down),,60,11-19,Invulnerability on frame 2-19
Dir. AD (diagonally down),,67,11-19,Invulnerability on frame 2-19
Dir. AD (left or right),,71,11-19,Invulnerability on frame 2-19
Dir. AD (diagonally up),,78,11-19,Invulnerability on frame 2-19
Dir. AD (up),,85,11-19,Invulnerability on frame 2-19
