,Startup,Total Frames,Landing Lag,Additional Notes
Jab 1,4,25,,Transitions to jab 2 as early as frame 7.
Jab 2,5,27,,Transitions to jab 3 as early as frame 8 and rapid jab as early as frame 7
Jab 3,6,33,,
Rapid Jab,5/7/9...,,,
Rapid Finisher,5,45,,
F-Tilt ,8,31,,
U-Tilt,7,27,,
D-Tilt,6,27,,
Dash Attack,10,43,,
F-Smash ,17/23/29,66,,Charge hold is frame 5
U-Smash,12/20/28,57,,Charge hold is frame 5
D-Smash,12/20/28,57,,Charge hold is frame 2
N-Air,6,55,10,Autocancels on frame 1-3 and 44 onward
F-Air,7,44,9,Autocancels on frame 1-5 and 46 onward
B-Air,7,41,14,Autocancels on frame 1-3 and 35 onward 
U-Air,6/12/20,39,11,Autocancels on frame 32 onward
D-Air,14/20,49,15,Autocancels on frame 1-3 and 45 onward
Trick Shot,16,41,,"Can shoot the can every 12 frames. Explosive generates on frame 1
After eighth shot, can will auto explode after 76 frame but can still be manipulated."
Clay Shooting,17,64,,"Can only detonate when clay is immobile or rebounding after a hit. 
""Missed shots"" occur on frame 4."
Clay Shooting (detonate),4/5/14/23,,,
Duck Jump,,,30,"Can cancel into air dodge or attacks as early as frame 51
Cancels will avoid the special fall state and landing lag."
Wild Gunman,,41,,
-Leader in brown coat,55,,,
-Black suit,67,,,
-Sombrero Guy,73,,,
-Short Cowboy,79,,,
-Tall Cowboy,91,,,
Grab,6,34,,
Dash Grab ,9,42,,
Pivot Grab,10,37,,
Forward Throw,18,29,,
Back Throw,15,39,,
Up Throw,18,47,,
Down Throw,24,49,,
,,,,
Spot Dodge,,20/25,,Invulnerable on frame 3-17 
Forward Roll,,29,,Invulnerable on frame 4-15
Back Roll,,34,,Invulnerable on frame 5-16 
Neutral Air Dodge,,49,10,Invulnerable on frame 3-27 
Dir. AD (down),,66,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally down),,78,11-19,Invulnerable on frame 3-21
Dir. AD (left or right),,83,11-19,Invulnerable on frame 3-21
Dir. AD (diagonally up),,100,11-19,Invulnerable on frame 3-21
Dir. AD (up),,113,11-19,Invulnerable on frame 3-21
