,Startup,Total Frames,Landing Lag,Additional Notes,Special cancel?,All moves with a heavier variant
Jab 1 (light),2,15,,,yes,have at least one more frame of startup in practice
Jab 2 ,3,27,,,yes,unless they are buffered
Jab 3,8,35,,,no,
Jab (Inazuma Kick),9/16,32,,,no,
Nata Otoshi Geri,12/15,28,,Holding A turns second hit into stronger inazuma kick hitting on 20 instead and is 41 total frames,no,
Oosoto Mawashi Geri,9,32,,Leg intangible on frame 9-10. Holding A causes second kick hitting on 17 instead and is 48 total frames,no,
F-Tilt (light),3,29,,,yes,Special cancels can be buffered during
F-Tilt (medium),8,23,,Leg intangibility on frame 6-11,yes,hitlag to start on the next frame
F-Tilt (heavy),10,34,,,no,of animation. But only on-hit.
U-Tilt (light),3,14,,,yes,
U-Tilt (medium),7,37,,Upper body intangibility on frame 4-10,yes,
D-Tilt (light),2,14,,,yes,
D-Tilt (medium),6,27,,,yes,
Dash Attack,7,40,,,no,
F-Smash ,13,45,,Charge hold is frame 5,no,
U-Smash,9,44,,Arm intangibility on frame 9-12. Charge hold is frame 6,no,
D-Smash,5,41,,Charge hold is frame 2,no,
N-Air,6,27,5,Autocancels on frame 28 onward ,yes,
F-Air,8,36,11,Autocancels on frame 1-2 and 38 onward,yes,
B-Air,8,41,10,Autocancels on frame 25 onward,yes,
U-Air,5,35,11,Autocancels on frame 19 onward ,yes,
D-Air,8,45,15,Autocancels on frame 1-2 and 33 onward,yes,
Hadoken,13,57,,,,
Tatsumaki Senpukyaku,8/13,42/72,,Second total frames is for maximum distance. Hits on alternating sides of him every five frames from 13-48.,,
Tatsumaki Senpukyaku (air),8/13,77,,Leg intangibility only in the air. Total frames consistent regardless of distance.,,
Shoryuken,6,,12,Invulnerable on frame 5,,
True Shoryuken,6,,8,Invulnerable on frame 4-6. Arm intangible on frame 1-14,,
Flame Shoryuken,5/6/9,,18,Invulnerable on frame 5,,
True Flame Shoryuken,5/6/9,,12,Invulnerable on frame 4-6. Arm intangible on frame 1-14,,
Focus Attack (stage 1),12 (+21),55,,Focus armor begins on frame 1 and lasts until the 12 frames of the kick,,
Focus Attack (stage 2),12 (+31),55,,,,
Focus Attack (stage 3),12 (+59),55,,,,
Focus Dash (forward/back),,19/19,,Can dash from frame 26 of entering charge and immediately after a successful hit,,
Grab,6,34,,,,
Dash Grab ,9,42,,,,
Pivot Grab,10,37,,Startup now 10 from 9. Total frames now 37 from 34,,
Forward Throw,16,41,,,,
Back Throw,41,69,,,,
Up Throw,18,46,,Kicks on frame 27,,
Down Throw,18/19,44,,,,
,,,,,,
Spot Dodge,,21/26,,Invulnerable on frame 3-17,,
Forward Roll,,30,,Invulnerable on frame 4-15,,
Back Roll,,35,,Invulnerable on frame 5-16,,
Neutral Air Dodge,,49,10,Invulnerable on frame 3-27,,
Dir. AD (down),,67,11-19,Invulnerable on frame 3-21,,
Dir. AD (diagonally down),,73,11-19,Invulnerable on frame 3-21,,
Dir. AD (left or right),,80,11-19,Invulnerable on frame 3-21,,
Dir. AD (diagonally up),,89,11-19,Invulnerable on frame 3-21,,
Dir. AD (up),,102,11-19,Invulnerable on frame 3-21,,
